UUID	Q#	Trust Index Dimension	Domain applicability	Country applicability	M/O	Group or not group	Question type	Question	Question - Proposed revision	Response indicators	RI - Proposed revision	Score	Points Available	Weighting (low-high)	Reference	Alt Text
Q1577E	29	Bias and Fairness				Group	Mitigation	How is the privacy and intimacy of an individual or group protected in both the development and implementation of your system?		select all that apply:			1	high	Recommended guidance from the Montreal Declaration: 1) Personal spaces in which people are not subjected to surveillance or digital evaluation must be protected from the intrusion of AIS and data acquisition and archiving systems (DAAS).  2) The intimacy of thoughts and emotions must be strictly protected from AIS and DAAS uses capable of causing harm, especially uses that impose moral judgments on people or their lifestyle choices.  3) People must always have the right to digital disconnection in their private lives, and AIS should explicitly offer the option to disconnect at regular intervals, without encouraging people to stay connected.  4) People must have extensive control over information regarding their preferences. AIS must not create individual preference proﬁles to inﬂuence the behavior of the individuals without their free and informed consent.  5) DAAS must guarantee data conﬁdentiality and personal proﬁle anonymity.  6) Every person must be able to exercise extensive control over their personal data, especially when it comes to its collection, use, and dissemination. Access to AIS and digital services by individuals must not be made conditional on their abandoning control or ownership of their personal data.  7) Individuals should be free to donate their personal data to research organizations in order to contribute to the advancement of knowledge.  8) The integrity of one’s personal identity must be guaranteed. AIS must not be used to imitate or alter a person’s appearance, voice, or other individual characteristics in order to damage one’s reputation or manipulate other people.	
AD1BDC										The collection of private information only takes place if a user consents or for authorized surveillance purposes.		0.11				
A90EF1										Data related to personal thoughts and emotions are not used in situations where the system could case harm, especially in circumstances where moral judgements (eg. lifestyle choices) could be made.		0.11				
A7CDEE										Users are able to disconnect or stop sharing information with the system at any point in time. 		0.11				
A44372										Only users have the ability to set profile preferences, changes to the these preferences can easily be done at any time.		0.11				
A01B9E										Access to personal information is limited to only individuals who require it for the direct functioning of the system.		0.11				
A2B090										Individuals have the ability to access their personal data including, but not limited to, the collection, use, and sharing of this data at any time.		0.11				
AACFA1										Individuals have the ability to donate their personal data to research organizations.		0.11				
AA34FF										Data integrity is assured. The system does not use private data to imitate or alter a persons appearance, voice, or other individual characteristics in order to damage one's reputation or manipulate other people.		0.11				
A44302										The system does not curtail people's real or percieved liberty.		0.11				
Q3CFCB	30	Data Quality				not group	Mitigation	Does the system require the use of sensitive data for development or implementation?					1	high	Recommended guidance from Google's Responsible AI Practices: G1) Collect and handle data responsibly - Identify whether your ML model can be trained without the use of sensitive data, e.g., by utilizing non-sensitive data collection or an existing public data source. - If it is essential to process sensitive training data, strive to minimize the use of such data. Handle any sensitive data with care: e.g., comply with required laws and standards, provide users with clear notice and give them any necessary controls over data use, follow best practices such as encryption in transit and rest, and adhere to Google privacy principles. - Anonymize and aggregate incoming data using best practice data-scrubbing pipelines: e.g., consider removing personally identifiable information (PII) and outlier or metadata values that might allow de-anonymization (including implicit metadata such as arrival order, removable by random shuffling, as in Prochlo; or the Cloud Data Loss Prevention API to automatically discover and redact sensitive and identifying data). 	
A7CAC9										Yes		1				
A46211										The use of sensitive data is minimized		0.5				
A87387										No, the use of sensitive data is necessary, however, measures are in place to mitigate the use and sharing of sensitive data 		0				
A30679										No, the use of sensitive data is necessary for the operation of the system 		-1				
QD54A7	31	Data Quality				Group	Mitigation	What steps are followed to ensure data used in training or implementation of this system is handled with care?		select all that apply:			1	high	Recommended guidance from Google's Responsible AI Practices: 1) Collect and handle data responsibly - Identify whether your ML model can be trained without the use of sensitive data, e.g., by utilizing non-sensitive data collection or an existing public data source. - If it is essential to process sensitive training data, strive to minimize the use of such data. Handle any sensitive data with care: e.g., comply with required laws and standards, provide users with clear notice and give them any necessary controls over data use, follow best practices such as encryption in transit and rest, and adhere to Google privacy principles. - Anonymize and aggregate incoming data using best practice data-scrubbing pipelines: e.g., consider removing personally identifiable information (PII) and outlier or metadata values that might allow de-anonymization (including implicit metadata such as arrival order, removable by random shuffling, as in Prochlo; or the Cloud Data Loss Prevention API to automatically discover and redact sensitive and identifying data).  2) Leverage on-device processing where appropriate - If your goal is to learn statistics of individual interactions (e.g., how often certain UI elements are used), consider collecting only statistics that have been computed locally, on-device, rather than raw interaction data, which can include sensitive information. - Consider whether techniques like federated learning, where a fleet of devices coordinates to train a shared global model from locally-stored training data, can improve privacy in your system. - When feasible, apply aggregation, randomization, and scrubbing operations on-device (e.g., Secure aggregation, RAPPOR, and Prochlo's encode step). Note that these operations may only provide pragmatic, best-effort privacy unless the techniques employed are accompanied by proofs.	
A0CF54										Standards for cryptography or security are followed.						
A50AE8										Data is encrypted when in transit or rest.		0.17				
A2AF6F										Anonymize and aggregate incoming data using best-practice data scrubbing pipelines.		0.17				
A0025B										Provides users with clear notification when personal information is being collected, used, or shared.		0.17				
A14E50										When and where possible, system leverages on-device processing.		0.17				
AE3AD4										Where possible, independent data trusts or data collaboratives are used to ensure users privacy.		0.17				
QAF269	32	Bias and Fairness				not group	Risk	If your system have learning capabilities, what protections are in place for safeguarding user privacy?		select all that apply:			1	medium	Recommended guidance from Google's Responsible AI Practices: 3) Appropriately safeguard the privacy of ML models: Because ML models can expose details about their training data via both their internal parameters as well as their externally-visible behavior, it is crucial to consider the privacy impact of how the models were constructed and may be accessed. - Estimate whether your model is unintentionally memorizing or exposing sensitive data using tests based on “exposure” measurements or membership inference assessment. These metrics can additionally be used for regression tests during model maintenance. - Experiment with parameters for data minimization (e.g., aggregation, outlier thresholds, and randomization factors) to understand tradeoffs and identify optimal settings for your model. - Train ML models using techniques that establish mathematical guarantees for privacy. Note that these analytic guarantees are not guarantees about the complete operational system. - Follow best-practice processes established for cryptographic and security-critical software, e.g., the use of principled and provable approaches, peer-reviewed publication of new ideas, open-sourcing of critical software components, and the enlistment of experts for review at all stages of design and development.	
AE5E0E										Not applicable		1				
A30473										Testing has been completed to ensure that the model is not memorizing or exposing sensitive data		0.5				
A4FD04										Use of data is minimized while maintaining		0.5				
Q61060	33	Data Quality				not group	Mitigation	Has training and implementation data been reviewed for quality?		select all that apply:			1	medium	Recommended guidance from the High-Level Group on AI:  1) Data Governance: The quality of the data sets used is paramount for the performance of the trained machine learning solutions. Even if the data is handled in a privacy preserving way, there are requirements that have to be fulfilled in order to have high quality AI. The datasets gathered inevitably contain biases, and one has to be able to prune these away before engaging in training. This may also be done in the training itself by requiring a symmetric behaviour over known issues in the training set. The integrity of the data gathering has to be ensured. Feeding malicious data into the system may change the behaviour of the AI solutions.   2) Data governance (Assessment list):  - Is proper governance of data and process ensured? What process and procedures were followed to ensure proper data governance?  - Is an oversight mechanism put in place? Who is ultimately responsible?  - What data governance regulation and legislation are applicable to the AI system?	
A474D7										No		0				
A12CD2										Yes, data has been reviewed by internal team		0.25				
AF8C49										Yes, data has been reviewed by a qualified third-party		0.75				
A17287										Yes, data is compliant with ISO 8000 or equivalent industry recognized standard		1				
																
Q79336	34	Data Quality				Group	Mitigation	Has your system been trained on data that accurately represents your entire user base?		select all that apply:			1	high	Recommended guidance form Google's Responsible AI Practices: For supervised systems, consider the relationship between the data labels you have, and the items you are trying to predict. If you are using a data label X as a proxy to predict a label Y, in which cases is the gap between X and Y problematic?	
A39A4B										No		0				
A1B141										Yes, sample data used for training and testing accurately reflects user base including, but not limited to, age, location, gender, ethnicity, status, degree of accessibility, level of education, income.		0.2				Alt text: Google Responsible AI Practices - Training-serving skew—the difference between performance during training and performance during serving—is a persistent challenge. During training, try to identify potential skews and work to address them, including by adjusting your training data or objective function. During evaluation, continue to try to get evaluation data that is as representative as possible of the deployed setting.
AD865D										Yes, training data has been ensured that it is fit for purpose.		0.2				
A9C235										Yes, sample data is accurate for current point in time.		0.2				
A8D64C										Yes, sample data has been tested for accuracy.		0.2				
AF3A23										Yes, sample data is complete.		0.2				
Q466C3	35	Data Quality				not group	Mitigation	How is the data being collected, used, and stored being managed?					1	medium	Guidance from IBM's Everday Ethics for AI: 2) Users’ data should be protected from theft, misuse, or data corruption	
AE42C8										Through a third-party data service, terms and conditions are unknown.		0				
A47278										Through a third-party data service, terms and conditions ensure users data should be protected from theft, misuse, or data corruption		1			Guidance from IBM's Everday Ethics for AI: 2) Users’ data should be protected from theft, misuse, or data corruption	
Q214D0	36	Accountability				not group	Mitigation	Is there a robust review of the inputs of your system, including but not limited to the data and algorithms used to train and operate the system?		select all that apply:			1	medium	Recommended guidance from Google's Responsible AI Practices: 1) Plan out your options to pursue interpretability: Pursuing interpretability can happen before, during and after designing and training your model. - What degree of interpretability do you really need? Work closely with relevant domain experts for your model (e.g., healthcare, retail, etc.) to identify what interpretability features are needed, and why. While rare, there are some cases/systems where with sufficient empirical evidence, fine-grain interpretability is not needed. - Can you analyze your training/testing data? For example, if you are working with private data, you may not have access to investigate your input data. - Can you change your training/testing data, for example, gather more training data for certain subsets (e.g., parts/slices of the feature space), or gather test data for categories of interest? - Can you design a new model or are you constrained to an already-trained model? - Are you providing too much transparency, potentially opening up vectors for abuse? - What are your post-train interpretability options? Will you have access to the internals of the model (e.g., black box vs. white box)?  2) Treat interpretability as a core part of the user experience - Iterate with users in the development cycle to test and refine your assumptions about user needs and goals. - Design the UX so that users build useful mental models of the AI system. If not given clear and compelling information, users may make up their own theories about how an AI system works, which can negatively affect how they try to use the system. - Where possible, make it easy for users to do their own sensitivity analysis: empower them to test how different inputs affect the model output. - Additional relevant UX resources: Designing for human needs, user control, teaching an AI, habituation, fairness, representation  3) Design the model to be interpretable - Use the smallest set of inputs necessary for your performance goals to make it clearer what factors are affecting the model. - Use the simplest model that meets your performance goals. - Learn causal relationships not correlations when possible (e.g., use height not age to predict if a kid is safe to ride a roller coaster). - Craft the training objective to match your true goal (e.g., train for the acceptable probability of false alarms, not accuracy). - Constrain your model to produce input-output relationships that reflect domain expert knowledge (e.g., a coffee shop should be more likely to be recommended if it’s closer to the user, if everything else about it is the same).  4) Choose metrics to reflect the end-goal and the end-task - The metrics you consider must address the particular benefits and risks of your specific context. For example, a fire alarm system would need to have high recall, even if that means the occasional false alarm.  5) Understand the trained model: Many techniques are being developed to gain insights into the model (e.g., sensitivity to inputs). - Analyze the model’s sensitivity to different inputs, for different subsets of examples.  6) Communicate explanations to model users - Provide explanations that are understandable and appropriate for the user (e.g., technical details may be appropriate for industry practitioners and academia, while general users may find UI prompts, user-friendly summary descriptions or visualizations more useful). Explanations should be informed by a careful consideration of philosophical, psychological, computer science (including HCI), legal and ethical considerations about what counts as a good explanation in different contexts. - Identify if and where explanations may not be appropriate (e.g., where explanations could result in more confusion for general users, nefarious actors could take advantage of the explanation for system or user abuse, or explanations may reveal proprietary information). - Consider alternatives if explanations are requested by a certain user base but cannot or should not be provided, or if it's not possible to provide a clear, sound explanation. You could instead provide accountability through other mechanisms such as auditing or allow users to contest decisions or to provide feedback to influence future decisions or experiences. - Prioritize explanations that suggest clear actions a user can take to correct inaccurate predictions going forward. - Don’t imply that explanations mean causation unless they do. - Recognize human psychology and limitations (e.g., confirmation bias, cognitive fatigue) - Explanations can come in many forms (e.g., text, graphs, statistics): when using visualization to provide insights, use best practices from HCI and visualization. - Any aggregated summary may lose information and hide details (e.g., partial dependency plots). - The ability to understand the parts of the ML system (especially inputs) and how all the parts work together (“completeness”) helps users to build clearer mental models of the system. These mental models match actual system performance more closely, providing for a more trustworthy experience and more accurate expectations for future learning. - Be mindful of the limitations of your explanations (e.g., local explanations may not generalize broadly, and may provide conflicting explanations of two visually-similar examples). "	
A4B948										Yes, inputs are reviewed internally as part of a general technology review		0.5				
A3DDD3										Yes, inputs are reviewed internally independent of a technology review and include at least one of the following activities: - Analysis of the systems training/testing data - Multiple tests with different training/testing data, for example, gather more training data for certain subsets (e.g., parts/slices of the feature space), or gather test data for categories of interest - Testing of different models  - Testing for right degree of transparency to mitigate any potential abuse - System is built so users can set their own degree of sensitivity - The smallest set of inputs necessary were used to make it clear which factors are affeting the model  - The simplest model to meet the performance goal was used - Model learns on casual relationships not correlations when and where possible  - Model is trained to match true goal  - Model has been constrained to produce input-output relationships that reflect domain expert knowledge - Metrics used address the particular benefits and risks of your specific context  - The model's sensitivity has been trained for different subsets of examples		1				
AD6BCC										Yes, inputs are reviewed by a trusted third-party independent of a technology review		1				
AFE602										No third third-party review is completed		0				
QE7848	37	Accountability		Any country with EU users		not group	Mitigation	Is the personal data information flow in the system compliant with EU GDPR?					1	medium	Simple GDPR checklist: https://gdpr.eu/checklist/	EU GDPR: See https://gdpr.eu/ for GDPR compliance information
A75856										Yes		1				
A52734										No		0				
A79505										Not applicable		1				
QFABC6	38	Accountability		Any system that serves California		not group	Mitigation	Is the personal data information flow in the system compliant with California Privacy Protection?					1	medium	See the California Consumer Privacy Act for more information on regulations: https://oag.ca.gov/privacy/ccpa	California Privacy Protection: See https://oag.ca.gov/privacy/ccpa for CCPA information
AB8401										Yes		1				
A9752E										No		0				
A2CA06										Not applicable		1				
QD3651	39	Bias and Fairness				not group	Mitigation	Was training for diversity and inclusion completed by all individuals working on the design and development of this system?					1	medium	STANDARD: What's acceptable for diversity and inclusion training? At a minimum come up with some criteria.  Guidance from IBM's Everyday Ethics for AI: 1) Make company policies clear and accessible to design and development teams from day one so that no one is confused about issues of responsibility or accountability. As an AI designer or developer, it is your responsibility to know.  AI provides deeper insight into our personal lives when interacting with our sensitive data. As humans are inherently vulnerable to biases, and are responsible for building AI, there are chances for human bias to be embedded in the systems we create. It is the role of a responsible team to minimize algorithmic bias through ongoing research and data collection which is representative of a diverse population.   1) Real-time analysis of AI brings to light both intentional and unintentional biases. When bias in data becomes apparent, the team must investigate and understand where it originated and how it can be mitigated  2) Design and develop without intentional biases and schedule team reviews to avoid unintentional biases. Unintentional biases can include stereotyping, confirmation bias, and sunk cost bias.  3) Instill a feedback mechanism or open dialogue with users to raise awareness of user-identified biases or issues. e.g., Woebot asks “Let me know what you think,” after suggesting a link	
ABBD06										Yes		1				
A39EB2										Yes, only those who worked on the design and input aspects						
A624F7										No		0				
Q4805F	40	Bias and fairness	Targeted selection			not group	Risk	Are psychological, behavioral, geographical or any other societal inferences used for targeting (or other predictions)?		select all that apply:			1		Recommended guidance from Google's Responsible AI Practices: 1) Design your model using concrete goals for fairness and inclusion - Engage with social scientists, humanists, and other relevant experts for your product to understand and account for various perspectives. - Consider how the technology and its development over time will impact different use cases: Whose views are represented? What types of data are represented? What’s being left out What outcomes does this technology enable and how do these compare for different users and communities? What biases, negative experiences, or discriminatory outcomes might occur? - Set goals for your system to work fairly across anticipated use cases: for example, in X different languages, or to Y different age groups. Monitor these goals over time and expand as appropriate. - Design your algorithms and objective function to reflect fairness goals. - Update your training and testing data frequently based on who uses your technology and how they use it.	
A24402										No		1				
A3AB8E										Yes, however we have engaged with social scientists, humanists, and other relevant experts to understand and account for various perspectives, including, but not limited to, how the system will function over time.		0.5				
AF42BB										Yes, however, goals have been set to ensure the system works fairly across anticipated use cases, including across different regions, with different languages, with different segmentations		0.5				
																
QF211C	41	Accountability				not group	Mitigation	Is there a log which determines who has generated and had access to the inputs of the system?		select all that apply:			1	medium	ISO 9001 provides controls for documentation of the system. Helpful checklist to walk you through 9001: https://www.iso-9001-checklist.co.uk/7.5.3-control-of-documented-information-explained.htm	
A202E1										No		0				
A5DE57										Yes, the log identifies the authority or delegated authority responsible		0.5				
A48BA0										Yes, the log records all the recommendations or decisions made by the system and are easy to identify		0.5				
QB6B11	42	Robustness				not group	Mitigation	Is the entire supply chain secure? 					1	high	Recommended guidance from Google's Responsible AI Practices: 3) Keep learning to stay ahead of the curve - Stay up to date on the latest research advances. Research into adversarial machine learning continues to offer improved performance for defenses and some defense techniques are beginning to offer provable guarantees. - Beyond interfering with input, it is possible there may be other vulnerabilities in the ML supply chain. While to our knowledge such an attack has not yet occurred, it is important to consider the possibility and be prepared.	eg. is data or any aspect of the system being stored on the cloud?
A4020B										Yes		1				
AA7ABE										Not sure		0				
A3AA39										No		0				
Q1CE3D		Explainability and Interpretability						Are the terms of reference easy to understand by the intended audience?							We recommend that the terms of reference should be clearly communicated to the intended audience. Purpose, objectives, context, and work plan are established and made clear.  	terms of reference: 
AAA696										Yes						
AE4B46										Not sure						
AF2897 										No						
Q9049E	43	Data Quality				Group	Mitigation	What are the recourse mechanisms for a decision or action that does not meet the objectives of the system?		select all that apply:			1	medium	See response indicators for best practices. We recommend all of these actions be taken. However, we recognise that recourse will be different based on the context, therefore, think about the different users that you have and determine what the best course of action would be to inform them throughout the use of the system when and if there is an issue.	
AB4834										Decision is able to be reversed		0.25				
AD0DD1										Update will be made to the process		0.25				
AD5CFD										If an issue with the system has been identified that could cause harm to an individual or community, it is immediatly taken off-line until it is remediated		0.25				
A23AC6										Users are notified		0.25				
A5F675 										None		0				
QC9FE9	44	Bias and Fairness				not group	Mitigation	Can the deployment of this system restrict an individual from access to a specific business product or service offering?					1	medium	Recommended guidance from the High-Level Expert Group on AI:  1) Design for all: Systems should be designed in a way that allows all citizens to use the products or services, regardless of their age, disability status or social status. It is particularly important to consider accessibility to AI products and services to people with disabilities, which are horizontal category of society, present in all societal groups independent from gender, age or nationality. AI applications should hence not have a one-size-fits-all approach, but be user-centric and consider the whole range of human abilities, skills and requirements. Design for all implies the accessibility and usability of technologies by anyone at any place and at any time, ensuring their inclusion in any living context, thus enabling equitable access and active participation of potentially all people in existing and emerging computer-mediated human activities. This requirement links to the United Nations Convention on the Rights of Persons with Disabilities.   2) Design for all (Assessment list):  - Is the system equitable in use?  - Does the system accommodate a wide range of individual preferences and abilities?  - Is the system usable by those with special needs or disabilities, and how was this designed into the system and how is it verified?  - What definition(s) of fairness is (are) applicable in the context of the system being developed and/or deployed?  - For each measure of fairness applicable, how is it measured and assured?	
A34F49										Yes		0				
AA87C9										No		1				
QC8371	45	Bias and Fairness				not group	Mitigation	Will the user have the ability to challenge decisions/recommendations made by the system?					1	high	We recommend that users are able to question or reverse all automated decisions, espcially in the instance where there is a potential of significant harm.	
AA5148										Yes		1				
A960F9										No		0				
Q41411	46	Bias and Fairness	Mission Statement Characteristics			not group	Mitigation	Does this system impact an end-user or consumer's economic interest, health, access or mobility, licensing and permit issuance, or otherwise impact their lives?					1		Recommended guidance from the Montreal Declaration: 1) AIS must help individuals improve their living conditions, their health, and their working conditions. 5) AIS use should not contribute to increasing stress, anxiety, or a sense of being harassed by one’s digital environment.	
A359B4										Yes		0				
A574CD										No		1				
Q9463F	47	Accountability				not group	Mitigation	Is there a contingency plan in place if the system is not available?					1	high	Recommended guidance from the EU: Good AI governance should include accountability mechanisms, which could be very diverse in choice depending on the goals. Mechanisms can range from monetary compensation (no-fault insurance) to fault finding, to reconciliation without monetary compensations. The choice of accountability mechanisms may also depend on the nature and weight of the activity, as well as the level of autonomy at play. An instance in which a system misreads a medicine claim and wrongly decides not to reimburse may be compensated for with money. In a case of discrimination, however, an explanation and apology might be at least as important.	
A19879										No		0				
A354A1										Yes, there is a contigency plan in place if the system is not available		1				
QFF34A	48	Accountability				not group	Mitigation	Is there a process in place for determining if the automated activity will be flagged for human oversight?		select all that apply:			1	high	Reference guidance from the Montreal declaration: The development and use of AIS must not contribute to lessening the responsibility of human beings when decisions must be made. 1) Only human beings can be held responsible for decisions stemming from recommendations made by AIS, and the actions that proceed therefrom. 2) In all areas where a decision that affects a person’s life, quality of life, or reputation must be made, where time and circumstance permit, the ﬁnal decision must be taken by a human being and that decision should be free and informed 3) The decision to kill must always be made by human beings, and responsibility for this decision must not be transferred to an AIS. 4) People who authorize AIS to commit a crime or an offense, or demonstrate negligence by allowing AIS to commit them, are responsible for this crime or offense. 5) When damage or harm has been inﬂicted by an AIS, and the AIS is proven to be reliable and to have been used as intended, it is not reasonable to place blame on the people involved in its development or use.	
A39F22										System is only used to assist a decision maker		1				
AE62E4										System is replacing a decision that would otherwise be made by a human and no judgement or discretion is required		0.5				
A352B5										System is replacing a decision that would otherwise be made by a human and judgement or discretion is required		0				
Q1B4C3	50	Bias and Fairness				not group	Mitigation	Does training data rely on decisions/outcomes previously made by individuals to influence the outcomes? Was this data reviewed for bias?					1	high	more info coming soon	
A6E936										Yes		1				
A34C7B										No		0				
QA47B7	51	Robustness				not group	Mitigation	Is there tracking of system performance in place, are there established criteria where the system is considered not fit for purpose (eg the usage is outside of what is considered appropriate for the system to provide a decision/ outcome)?					1	low	Recommended guidance from Google's Responsible AI Practices: 2) Machine learning models today are largely a reflection of the patterns of their training data. It is therefore important to communicate the scope and coverage of the training, hence clarifying the capability and limitations of the models. E.g., a shoe detector trained with stock photos can work best with stock photos but has limited capability when tested with user-generated cellphone photos.  3) Communicate limitations to users where possible. For example, an app that uses ML to recognize specific bird species might communicate that the model was trained on a small set of images from a specific region of the world. By better educating the user, you may also improve the feedback provided from users about your feature or application.	
A7084A										Yes		1				
AA137C										No		0				
Q6B15A	52	Bias and Fairness				not group	Risk	The decision or action made by the system has the potential to adversely impact:		select all that apply:			1		Recommended guidance from the Montreal Declaration: 1) AIS must be designed and trained so as not to create, reinforce, or reproduce discrimination based on — among other things — social, sexual, ethnic, cultural, or religious differences.  2) AIS development must help eliminate relationships of domination between groups and people based on differences of power, wealth, or knowledge.  3) AIS development must produce social and economic beneﬁts for all by reducing social inequalities and vulnerabilities.  4) Industrial AIS development must be compatible with acceptable working conditions at every step of their life cycle, from natural resources extraction to recycling, and including data processing.  5) The digital activity of users of AIS and digital services should be recognized as labor that contributes to the functioning of algorithms and creates value.  6) Access to fundamental resources, knowledge and digital tools must be guaranteed for all.  7) We should support the development of commons algorithms — and of open data needed to train them — and expand their use, as a socially equitable objective.	
A22061										Not applicable		1				
A0A5A0										Health and well-being of an individual or group		-1				
AB333A										Economic interests of an individual or group		-1				
A2B512										Ongoing sustainability of an environmental ecosystem		-1			Recommended guidance from the Montreal Declaration: The development and use of AIS must be carried out so as to ensure a strong environmental sustainability of the planet. 1) AIS hardware, its digital infrastructure and the relevant objects on which it relies such as data centers, must aim for the greatest energy efﬁciency and to mitigate greenhouse gas emissions over its entire life cycle.  2) AIS hardware, its digital infrastructure and the relevant objects on which it relies, must aim to generate the least amount of electric and electronic waste and to provide for maintenance, repair, and recycling procedures according to the principles of circular economy.  3) AIS hardware, its digital infrastructure and the relevant objects on which it relies, must minimize our impact on ecosystems and biodiversity at every stage of its life cycle, notably with respect to the extraction of resources and the ultimate disposal of the equipment when it has reached the end of its useful life.  4) Public and private actors must support the environmentally responsible development of AIS in order to combat the waste of natural resources and produced goods, build sustainable supply chains and trade, and reduce global pollution.	
QF1954	54	Robustness				Group	Mitigation	What safeguards have you put in place to ensure your system is robust enough to deal with the edge cases and extreme scenarios (eg. load inputs, adversarial attacks) to adequately mitigate erroneous outcomes to the best extent possible?		select all that apply:			1	high	Recommended guidance from the EU: 2) Robustness (Assessment List): Covered in other questions.  - Resilience to Attack:  # What are the forms of attack to which the AI system is vulnerable? Which of these forms of attack can be mitigated against?  # What systems are in place to ensure data security and integrity? - Reliability & Reproducibility:  # Is a strategy in place to monitor and test that my products or services meet goals, purposes and intended applications?  # Are the used algorithms tested with regards to their reproducibility? Are reproducibility conditions under control? In which specific and sensitive contexts is it necessary to use a different approach?  # For each aspect of reliability and reproducibility that should be considered, how is it measured and assured?  # Are processes for the testing and verification of the reliability of AI systems clearly documented and operationalised to those tasked with developing and testing an AI system?  # What mechanisms can be used to assure users of the reliability of an AI system? - Accuracy through data usage and control:  # What definition(s) of accuracy is (are) applicable in the context of the system being developed and/or deployed?  # For each form of accuracy to be considered how is it measured and assured?  # Is the data comprehensive enough to complete the task in hand? Is the most recent data used (not outdated)?  # What other data sources / models can be added to increase accuracy?  # What other data sources / models can be used to eliminate bias?  # What strategy was put in place to measure inclusiveness of the data? Is the data representative enough of the case to be solved? - Fall-back plan:  # What would be the impact of the AI system failing by: Providing wrong results? Being unavailable?  # Providing societally unacceptable results (e.g. bias)?  # In case of unacceptable impact - Have thresholds and governance for the above scenarios been defined to trigger alternative/fall-back plans?  # Have fall-back plans been defined and tested?	
A79699										None		0				
AF25AF										Have ensured that there is a mitigation plan in place for any individual, group, or organization who has an incentive to make the system misbehave.		0.14				
A8351D										The unintended consequences resulting in a mistake from the system have been assessed and mitigated to the best extent possible.		0.14				
A25314										A rigorous threat model to understand all possible attack vectors has been implemented.		0.14				
AF8ED9										The system has been tested against adversarial attacks.		0.14				
A85213										Third party advesarial testing of the system was completed.		0.14				
AC9302										Ongoing research is being conducted to ensure the latest tools are being applied.		0.14				
AFB89A										Preventative and precautionary measures have been taken.		0.14				
Q4A201	55	Explainability and Interpretability				not group	Mitigation	What information is provided about how the system operates?		select all that apply:			1	low	Recommended guidance from Google's Responsible AI Practices: - Design the UX so that users build useful mental models of the AI system. If not given clear and compelling information, users may make up their own theories about how an AI system works, which can negatively affect how they try to use the system.	
AE6861										Simple counterfactual explanations are provided to users		0.5				
A220E8										Easy to understand visuals		0.5				
AA7355										Access to support team for conversational explanations		0.5				
AF164B										Not available		0				
Q4DF04	56	Explainability and Interpretability				not group	Mitigation	Are the terms and conditions of the system easy to understand?					1	high	We recommend that the terms and conditions of a system be in plain language, digestible, and concise to read to aid with system transparency	
A4DD46										Terms and conditions for the system use plain language and are easy to understand		0.5				
A40789										Terms and conditions take less than thirty minutes to read and understand by target audience		0.5				
AF7383										Terms and conditions are comprehensive and as a result difficult to turn into plain language and take more than thirty minutes to read		0		low		
QC9882	57	Explainability and Interpretability				Group	Risk	To what extent is it possible for the operator of the system to access the training data? 		select all that apply:			1	medium	We recommend that users of the system have full access to the training data in order to help with system explainability. This access should include automatically collected data and key decision parameters of the system. 	
AF6D59										Full access to data, including automated decisioning data, manual changes to data, manual processing of the decision, etc.		0.5				
ADE566										Access to all automatically collected data is available		0.5				
A5D795										Access to all key decision parameters		0.5				
A1E1FE										Some gaps in special cases of the decision (think manual workflows that fall off of the automated workflow where somebody makes a change or makes a one-off decision/edit to the data)		0.25				
A42642										Access to data is limited		0				
A9A98C										No access to data		0				
QFE3D1	58	Explainability and Interpretability				not group	Mitigation	Is it possible to retrain your model and compare results when training data or other factors are changed?					1	medium	We recommend the ability to retrain a model or system through changing various factors such as training data for example. This will allow for a comparison of model performances and keeping an up-to-date model	
A1A89C										Yes		1				
AD9B01										No		0				
QF593F	59	Explainability and Interpretability				not group	Mitigation	Can you gather test data for all categories of interest?					1	low	We recommend having test data available for all categories of interest in order to properly gauge model performance	
A23933										Yes		1				
A7B003										No		0				
QB3F92	60	Explainability and Interpretability				not group	Risk	Can you design a new model or are you constrained to an already trained model?					1	medium	More info coming soon	
A4627D										Yes, a new model can be trained		1				
A45980										No, the existing model must be used, but can be augmented		0.5				
A76900										No, the existing model must be used and can't be augmented		0				
Q9B650	61	Explainability and Interpretability				not group	Risk	Would it be possible for an independent user to change the vectors (parameters) of the model so it is more accurate for their context?					1	medium	More info coming soon	
A5A96B										Yes		1				
AA1E40										No		-1				
A6809E										Not applicable		0				
Q504B1	62	Explainability and Interpretability				Group	Mitigation	To what extent was user testing completed to ensure the goals and objectives of the users are being met? 		select all that apply:			1	high	Recommended guidance from Google's Responsible AI Practices: 3) Model potential adverse feedback early in the design process, followed by specific live testing and iteration for a small fraction of traffic before full deployment. Engage with a diverse set of users and use-case scenarios, and incorporate feedback before and throughout project development. This will build a rich variety of user perspectives into the project and increase the number of people who benefit from the technology.  4) Engage with a diverse set of users and use-case scenarios, and incorporate feedback before and throughout project development. This will build a rich variety of user perspectives into the project and increase the number of people who benefit from the technology.	
A2D8BD										User experience testing has been done since the start of the project		0.2				
AD3D28										User experience testing will be done at every major interval of the project		0.2				
A904D1										User experience testing was done before the launch of the project		0.2				
A10874										Users are able to test how different inputs affect the model output		0.2				
A5335C										Users are able to provide feedback on their representation		0.2				
A61776										No user experience testing was done		0				
